Wavelength (nm),Reflectance Factor (%)
1151,94.27941
1152,94.279257
1153,94.108499
1154,94.217877
1155,94.24062
1156,94.215532
1157,94.235749
1158,94.386769
1159,94.221714
1160,94.189768
1161,94.248128
1162,94.241164
1163,94.207167
1164,94.213904
1165,94.212084
1166,94.179194
1167,94.204217
1168,94.173779
1169,94.027225
1170,94.158304
1171,94.169186
1172,94.180647
1173,94.14861
1174,94.147761
1175,94.139093
1176,94.109564
1177,94.106938
1178,94.090566
1179,94.093104
1180,94.089366
1181,94.096239
1182,94.090457
1183,94.06596
1184,94.067612
1185,94.067329
1186,94.059454
1187,94.055611
1188,94.039758
1189,94.042765
1190,94.053637
1191,94.033853
1192,93.866726
1193,94.074881
1194,94.179509
1195,94.030866
1196,93.906817
1197,94.061673
1198,94.148134
1199,94.038528
1200,94.029798
1201,93.954966
1202,94.048706
1203,94.040511
1204,94.041297
1205,94.020403
1206,94.033932
1207,94.013956
1208,94.019923
1209,93.916313
1210,94.024605
1211,94.065091
1212,94.123232
1213,93.926111
1214,94.048167
1215,94.163716
1216,94.045228
1217,93.935603
1218,94.099224
1219,94.17538
1220,93.970645
1221,94.073574
1222,94.168705
1223,94.326293
1224,94.004622
1225,94.111343
1226,94.107197
1227,94.086938
1228,94.054684
1229,94.017062
1230,94.265927
1231,94.217837
1232,94.081252
1233,94.049939
1234,93.96644
1235,94.131536
1236,94.222475
1237,94.103439
1238,94.094562
1239,94.127076
1240,94.05849
1241,94.043787
1242,94.291356
1243,94.067531
1244,93.987121
1245,94.139807
1246,94.205757
1247,94.096853
1248,94.08679
1249,94.108664
1250,94.125248
1251,94.099564
1252,94.115532
1253,94.151958
1254,94.194917
1255,94.126523
1256,94.074017
1257,94.027938
1258,94.110835
1259,94.161768
1260,94.200958
1261,94.044768
1262,93.995846
1263,94.089585
1264,94.099975
1265,94.16596
1266,94.191911
1267,94.103711
1268,94.102314
1269,94.081677
1270,94.076161
1271,94.004671
1272,94.062451
1273,94.164446
1274,94.073506
1275,94.046621
1276,94.135746
1277,94.152228
1278,94.066278
1279,94.071764
1280,93.991179
1281,93.989181
1282,94.13309
1283,94.133032
1284,94.050837
1285,94.056812
1286,94.050522
1287,94.047
1288,94.044909
1289,94.034204
1290,94.041573
1291,94.052316
1292,94.052241
1293,94.042854
1294,94.038451
1295,94.125616
1296,94.104052
1297,94.014564
1298,94.010049
1299,94.007554
1300,94.070502
1301,94.028176
1302,94.002639
1303,94.079882
1304,94.053218
1305,93.945429
1306,93.968433
1307,94.046755
1308,94.031868
1309,93.954556
1310,93.972637
1311,94.058232
1312,94.031896
1313,94.008811
1314,93.967466
1315,93.979348
1316,93.996906
1317,93.986648
1318,93.983761
1319,93.991728
1320,93.979212
1321,93.966268
1322,93.963387
1323,93.913415
1324,93.947636
1325,93.957069
1326,93.956874
1327,94.011755
1328,93.982977
1329,93.951148
1330,93.934209
1331,93.868372
1332,93.913294
1333,93.926409
1334,93.916833
1335,93.925522
1336,93.921417
1337,93.896948
1338,93.906886
1339,93.891617
1340,93.869991
1341,93.795596
1342,93.844348
1343,93.927003
1344,93.804211
1345,93.82144
1346,93.795657
1347,93.851269
1348,93.801575
1349,93.672458
1350,93.724785
1351,93.708048
1352,93.684772
1353,93.675551
1354,93.734252
1355,93.52566
1356,93.657982
1357,93.574138
1358,93.510227
1359,93.420478
1360,93.568727
1361,93.503036
1362,93.487849
1363,93.554027
1364,93.483789
1365,93.392331
1366,93.393102
1367,93.544214
1368,93.531537
1369,93.398645
1370,93.380405
1371,93.436149
1372,93.422935
1373,93.339519
1374,93.387413
1375,93.388138
1376,93.371697
1377,93.370182
1378,93.345099
1379,93.368287
1380,93.371537
1381,93.172152
1382,93.481638
1383,93.486508
1384,93.199754
1385,93.461973
1386,93.041088
1387,93.331761
1388,93.349722
1389,93.371322
1390,93.213724
1391,93.179361
1392,93.649859
1393,93.3399
1394,93.315273
1395,93.312507
1396,93.312924
1397,93.307671
1398,93.275852
1399,93.265098
1400,93.271408
1401,93.283606
1402,93.264471
1403,93.270073
1404,93.261048
1405,93.246968
1406,93.249607
1407,93.250135
1408,93.379051
1409,93.247836
1410,93.262405
